title,date_created,place_name,latitude,longitude,url
"TBILISI Street Dance | GEORGIA | Грузия, Тбилиси | 2018",2018-03-19T18:57:54.000Z,,41.69706,44.79745,https://www.youtube.com/watch?v=56g79XYb6W0
New style dancing,2018-03-19T13:06:20.000Z,Shafiq Trad & Cont. Est,26.4330726,50.1160588,https://www.youtube.com/watch?v=QuI229zcTtY
Baby dance 2018,2018-03-17T15:38:36.000Z,Bakü,40.4092617,49.8670924,https://www.youtube.com/watch?v=2RbXcnTtFIw
Mukil varna muukunda dance,2018-03-17T15:00:02.000Z,Sharon Fellowship Church,29.258987,47.9320943,https://www.youtube.com/watch?v=5DnQuwIQng0
Super Arabian Bass Dance Mix 2018 Best Full Remix,2018-03-17T13:50:21.000Z,Bakı,40.4092617,49.8670924,https://www.youtube.com/watch?v=Rqqs-yBL0k0
Армянский свадебный танец! Танец невесты. Armenian dance,2018-03-17T07:30:49.000Z,Ереван,40.1791857,44.4991029,https://www.youtube.com/watch?v=VstJNAUijW8
أغنية إيرانية مع الرقص روعه dance,2018-03-16T21:07:44.000Z,إيران,32.427908,53.688046,https://www.youtube.com/watch?v=dU0Vf6zM8X4
2018 का hit holi song dance khesari lal,2018-03-16T16:43:12.000Z,Kuwait International Airport (KWI),29.2397327,47.9711567,https://www.youtube.com/watch?v=BR4AVfEeapE
beautiful girl amazing dance,2018-03-16T11:13:47.000Z,Kuwait International Airport (KWI),29.2397327,47.9711567,https://www.youtube.com/watch?v=qYtO6dOgckA
rupu tera mastanatelugu dub video song:friends dance.edit murtaza,2018-03-16T04:23:17.000Z,Obeid Specialized Hospital,25.4321023,49.5721713,https://www.youtube.com/watch?v=2rDq3KHQVCM
Camila's 9 yo bahrain DOD international School dance daughter Dad,2018-03-13T21:00:27.000Z,American Naval Base,26.2072482,50.610016,https://www.youtube.com/watch?v=GPnFLzcZISo
